y,deg3,deg2,deg1
0.00227,0.331991,0.366006,0.366059
0.00228,0.331431,0.365197,0.365162
0.00229,0.330873,0.36439,0.364265
0.0023,0.330317,0.363583,0.363368
0.00231,0.329764,0.362778,0.362472
0.00232,0.329214,0.361975,0.361576
0.00233,0.328666,0.361173,0.36068
0.00234,0.32812,0.360373,0.359785
0.00235,0.327577,0.359574,0.35889
0.00236,0.327037,0.358776,0.357995
0.00237,0.326499,0.35798,0.357101
0.00238,0.325964,0.357186,0.356207
0.00239,0.325432,0.356393,0.355313
0.0024,0.324897,0.355599,0.354419
0.00241,0.324318,0.354737,0.353388
0.00242,0.323741,0.353876,0.352357
0.00243,0.323166,0.353016,0.351326
0.00244,0.322592,0.352158,0.350296
0.00245,0.322021,0.3513,0.349265
0.00246,0.321452,0.350444,0.348235
0.00247,0.320885,0.349589,0.347205
0.00248,0.32032,0.348735,0.346176
0.00249,0.319757,0.347883,0.345146
0.0025,0.319196,0.347031,0.344117
0.00251,0.318637,0.346181,0.343088
0.00252,0.31808,0.345332,0.342059
0.00253,0.317526,0.344485,0.341031
0.00254,0.316928,0.34352,0.339907
0.00255,0.316317,0.342506,0.338738
0.00256,0.315707,0.341493,0.33757
0.00257,0.315099,0.340481,0.336401
0.00258,0.314492,0.33947,0.335233
0.00259,0.313887,0.338461,0.334064
0.0026,0.313283,0.337453,0.332896
0.00261,0.31268,0.336445,0.331728
0.00262,0.31208,0.335439,0.33056
0.00263,0.31148,0.334434,0.329392
0.00264,0.310882,0.333431,0.328224
0.00265,0.310286,0.332428,0.327057
0.00266,0.309691,0.331427,0.325889
0.00267,0.309052,0.330371,0.324688
0.00268,0.308352,0.329224,0.323421
0.00269,0.307652,0.328077,0.322155
0.0027,0.306954,0.326932,0.320888
0.00271,0.306256,0.325787,0.319622
0.00272,0.30556,0.324644,0.318356
0.00273,0.304864,0.323501,0.317089
0.00274,0.30417,0.32236,0.315823
0.00275,0.303477,0.32122,0.314557
0.00276,0.302785,0.32008,0.313291
0.00277,0.302094,0.318942,0.312025
0.00278,0.301404,0.317805,0.310759
0.00279,0.300715,0.316669,0.309493
0.0028,0.300007,0.315532,0.308226
0.00281,0.299107,0.314346,0.306933
0.00282,0.298207,0.313161,0.30564
0.00283,0.297309,0.311976,0.304347
0.00284,0.296411,0.310792,0.303054
0.00285,0.295514,0.309609,0.301762
0.00286,0.294618,0.308426,0.300469
0.00287,0.293723,0.307244,0.299176
0.00288,0.292829,0.306063,0.297883
0.00289,0.291937,0.304882,0.29659
0.0029,0.291044,0.303703,0.295297
0.00291,0.290153,0.302524,0.294004
0.00292,0.289263,0.301345,0.292712
0.00293,0.288374,0.300168,0.291419
0.00294,0.287265,0.298866,0.290153
0.00295,0.286088,0.297514,0.288899
0.00296,0.284913,0.296163,0.287645
0.00297,0.283739,0.294812,0.286392
0.00298,0.282565,0.293462,0.285138
0.00299,0.281392,0.292112,0.283885
0.003,0.280221,0.290762,0.282632
0.00301,0.27905,0.289414,0.281378
0.00302,0.27788,0.288066,0.280125
0.00303,0.276711,0.286718,0.278872
0.00304,0.275543,0.285371,0.277619
0.00305,0.274376,0.284025,0.276366
0.00306,0.27321,0.282679,0.275112
0.00307,0.271935,0.281225,0.273874
0.00308,0.270519,0.279596,0.272663
0.00309,0.269105,0.277966,0.271453
0.0031,0.267691,0.276338,0.270243
0.00311,0.266277,0.27471,0.269033
0.00312,0.264864,0.273082,0.267823
0.00313,0.263452,0.271456,0.266613
0.00314,0.26204,0.26983,0.265404
0.00315,0.260629,0.268204,0.264195
0.00316,0.259219,0.26658,0.262986
0.00317,0.25781,0.264956,0.261777
0.00318,0.256401,0.263332,0.260569
0.00319,0.254993,0.26171,0.259361
0.0032,0.253555,0.26008,0.258148
0.00321,0.251876,0.258293,0.256514
0.00322,0.250196,0.256507,0.254882
0.00323,0.248517,0.254721,0.253251
0.00324,0.246839,0.252936,0.25162
0.00325,0.24516,0.251152,0.24999
0.00326,0.243482,0.249369,0.248361
0.00327,0.241805,0.247586,0.246733
0.00328,0.240127,0.245804,0.245106
0.00329,0.23845,0.244023,0.24348
0.0033,0.236773,0.242242,0.241854
0.00331,0.235097,0.240462,0.24023
0.00332,0.233421,0.238684,0.238606
0.00333,0.231745,0.236906,0.236984
0.00334,0.229855,0.235105,0.234703
0.00335,0.227904,0.233297,0.232113
0.00336,0.225953,0.231489,0.229524
0.00337,0.224003,0.229682,0.226936
0.00338,0.222052,0.227875,0.22435
0.00339,0.220102,0.22607,0.221765
0.0034,0.218152,0.224265,0.219182
0.00341,0.216201,0.222461,0.2166
0.00342,0.214251,0.220657,0.214019
0.00343,0.212301,0.218855,0.211441
0.00344,0.210352,0.217053,0.208864
0.00345,0.208402,0.215252,0.206289
0.00346,0.206452,0.213452,0.203715
0.00347,0.20446,0.211655,0.200966
0.00348,0.202415,0.209863,0.197883
0.00349,0.20037,0.208071,0.194801
0.0035,0.198326,0.206281,0.19172
0.00351,0.196281,0.204491,0.188639
0.00352,0.194236,0.202702,0.185558
0.00353,0.192192,0.200915,0.182479
0.00354,0.190147,0.199128,0.1794
0.00355,0.188102,0.197342,0.176322
0.00356,0.186057,0.195557,0.173245
0.00357,0.184013,0.193774,0.170168
0.00358,0.181968,0.191991,0.167093
0.00359,0.179923,0.19021,0.164018
0.0036,0.177886,0.188425,0.160948
0.00361,0.175899,0.186571,0.158095
0.00362,0.173912,0.184718,0.155242
0.00363,0.171926,0.182867,0.15239
0.00364,0.169939,0.181018,0.149538
0.00365,0.167953,0.17917,0.146687
0.00366,0.165967,0.177324,0.143835
0.00367,0.16398,0.175479,0.140984
0.00368,0.161994,0.173637,0.138134
0.00369,0.160008,0.171796,0.135284
0.0037,0.158022,0.169957,0.132434
0.00371,0.156036,0.16812,0.129585
0.00372,0.154051,0.166286,0.126737
0.00373,0.152065,0.164453,0.123889
0.00374,0.150124,0.162539,0.121304
0.00375,0.148195,0.160595,0.118843
0.00376,0.146265,0.158654,0.116383
0.00377,0.144336,0.156715,0.113923
0.00378,0.142407,0.154779,0.111465
